==================================================================
fastsimcoal started on 26/06/2025 at 15:32:23

TMRCAs per non-recombining segment
Locus	Segment_length	Data_Type	Time_(gen)	deme	Num_Mutations
662	1	data unknown	1520.61	0	0
663	1	data unknown	681.999	0	0
664	1	data unknown	1257.63	0	0
665	1	data unknown	1966.68	0	0
666	1	data unknown	2034.28	0	0
667	1	data unknown	1753.6	0	0
668	1	data unknown	541.946	0	0
669	1	data unknown	1113.46	0	0
670	1	data unknown	765.587	0	0
671	1	data unknown	2021.15	0	0
672	1	data unknown	610.558	0	0
673	1	data unknown	214.745	0	0
674	1	data unknown	2028.97	0	0
675	1	data unknown	1925.99	0	0
676	1	data unknown	1257.39	0	0
677	1	data unknown	2247.25	0	0
678	1	data unknown	2034.56	0	0
679	1	data unknown	2525.92	0	0
680	1	data unknown	2628.39	0	0
681	1	data unknown	576.279	0	0
682	1	data unknown	44.3192	0	0
683	1	data unknown	1304.86	0	0
684	1	data unknown	639.999	0	0
685	1	data unknown	792.511	0	0
686	1	data unknown	3063.17	0	0
687	1	data unknown	62.5153	0	0
688	1	data unknown	394.951	0	0
689	1	data unknown	1375.71	0	0
690	1	data unknown	1855.49	0	0
691	1	data unknown	1383	0	0
692	1	data unknown	4604.01	0	0
693	1	data unknown	235.695	0	0
694	1	data unknown	896.553	0	0
695	1	data unknown	42.366	0	0
696	1	data unknown	58.6319	0	0
697	1	data unknown	1822.39	0	0
698	1	data unknown	1832.5	0	0
699	1	data unknown	189.133	0	0
700	1	data unknown	90.5457	0	0
701	1	data unknown	2812.17	0	0
702	1	data unknown	1793.3	0	0
703	1	data unknown	361.893	0	0
704	1	data unknown	1293.68	0	0
705	1	data unknown	1193.09	0	0
706	1	data unknown	149.017	0	0
707	1	data unknown	3107.55	0	0
708	1	data unknown	2567.02	0	0
709	1	data unknown	2125.62	0	0
710	1	data unknown	367.638	0	0
711	1	data unknown	2452.13	0	0
712	1	data unknown	2104.29	0	0
713	1	data unknown	48.5535	0	0
714	1	data unknown	186.02	0	0
715	1	data unknown	338.89	0	0
716	1	data unknown	332.977	0	0
717	1	data unknown	1418.48	0	0
718	1	data unknown	1163.28	0	0
719	1	data unknown	92.6437	0	0
720	1	data unknown	2267.59	0	0
721	1	data unknown	606.232	0	0
722	1	data unknown	386.719	0	0
723	1	data unknown	2197.49	0	0
724	1	data unknown	74.2035	0	0
725	1	data unknown	2094.7	0	0
726	1	data unknown	2128.33	0	0
727	1	data unknown	227.325	0	0
728	1	data unknown	2538.32	0	0
729	1	data unknown	1546	0	0
730	1	data unknown	174.622	0	0
731	1	data unknown	1669.69	0	0
732	1	data unknown	447.868	0	0
733	1	data unknown	2772.5	0	0
734	1	data unknown	393.478	0	0
735	1	data unknown	357.124	0	0
736	1	data unknown	299.751	0	0
737	1	data unknown	2053.02	0	0
738	1	data unknown	2140.22	0	0
739	1	data unknown	2339.09	0	0
740	1	data unknown	2408.6	0	0
741	1	data unknown	1530.79	0	0
742	1	data unknown	2076.8	0	0
743	1	data unknown	557.457	0	0
744	1	data unknown	1640.4	0	0
745	1	data unknown	119.972	0	0
746	1	data unknown	1022.29	0	0
747	1	data unknown	2264.44	0	0
748	1	data unknown	3313.31	0	0
749	1	data unknown	3175.01	0	0
750	1	data unknown	533.012	0	0
751	1	data unknown	928.52	0	0
752	1	data unknown	2526.5	0	0
753	1	data unknown	534.538	0	0
754	1	data unknown	1947.12	0	0
755	1	data unknown	1845.28	0	0
756	1	data unknown	487.358	0	0
757	1	data unknown	1450.46	0	0
758	1	data unknown	2162.72	0	0
759	1	data unknown	2083.7	0	0
760	1	data unknown	2715.28	0	0
761	1	data unknown	380.173	0	0
762	1	data unknown	1834.29	0	0
763	1	data unknown	191.299	0	0
764	1	data unknown	2086.44	0	0
765	1	data unknown	912.987	0	0
766	1	data unknown	617.119	0	0
767	1	data unknown	630.127	0	0
768	1	data unknown	924.652	0	0
769	1	data unknown	85.0677	0	0
770	1	data unknown	1910.46	0	0
771	1	data unknown	1857.37	0	0
772	1	data unknown	1536.52	0	0
773	1	data unknown	2934.25	0	0
774	1	data unknown	1172.56	0	0
775	1	data unknown	1883.75	0	0
776	1	data unknown	685.616	0	0
777	1	data unknown	901.314	0	0
778	1	data unknown	2011.81	0	0
